394,Pedagogy and Teaching Physics for Learning Assistants,2 hours.,"Designed to support Learning Assistants (LAs) who are working as instructional aids in lab or discussion sections of the introductory physics courses. Students will study pedagogical strategies for instructor-student interaction and philosophies guiding lab design and/or discussion problem creation. Prerequisite: Instructor Approval Required. Lab LAs must have successfully completed PHYS 101, PHYS 102, PHYS 211, or PHYS 212. Discussion LAs must have successfully completed PHYS 100 and PHYS 211.",,PHYS,Physics
101,Introduction to Theatre Arts,3 hours.,"Introduction to the arts of theater for non-majors, including acting, design, directing, dramaturgy, and playwriting, together with a survey of theatrical history, minority theater, and plays by women. Attendance at Department of Theater productions (ticket fee required). Credit not given for both THEA 101 and THEA 102.",Humanities - Lit & Arts course.,THEA,Theatre
134,Jazz Trombone,2 TO 4 hours.,Instruction at the undergraduate level in jazz trombone normally associated with the jazz idiom. Additional fees may apply. See Class Schedule. May be repeated in separate terms to a maximum of 16 hours. Prerequisite: Passing of a performance audition for the jazz faculty is required prior to the initial registration in any applied music course.,,MUSC,Music Lessons and Ensembles
520,EM Waves & Radiating Systems,4 hours.,"Fundamental electromagnetic theory with applications to plane waves, waveguides, cavities, antennas, and scattering; electromagnetic principles and theorems; and solution of electromagnetic boundary-value problems.",,ECE,Electrical and Computer Engineering
232,Elementary Organic Chemistry I,3 or 4 hours.,"Presents structural and mechanistic chemistry with emphasis on applications of this material to closely related areas. For students in agricultural, nutritional and biological sciences, as well as premedical, predental, and preveterinary programs. One-term survey course; may be followed by CHEM 332. Credit is not given for both CHEM 232 and CHEM 236. 3 hours of credit is an option for those not registered in a discussion-recitation section. 4 hours of credit requires registration in a discussion-recitation section and a live lecture or an online section. Prerequisite: CHEM 104 and CHEM 105, or CHEM 204.",,CHEM,Chemistry
272,Language and Culture in Turkey,3 hours.,"Same as ANTH 272, SAME 272, and TURK 270. See TURK 270.",Cultural Studies - Non-West course.,GLBL,Global Studies
311,Incompressible Flow,3 hours.,"Equations of motion for incompressible flow, both inviscid and viscous; potential flow theory, inviscid airfoil theory: two- and three-dimensional, Navier-Stokes equations, laminar boundary layer and transition to turbulence. Prerequisite: Credit or concurrent registration in AE 202 and MATH 241.",,AE,Aerospace Engineering
596,Advanced Topics in Human-Centered Design & Systems,2 OR 4 hours.,"Variety of newly developed and advanced topics courses within the field of Human-Centered Design & Systems, intended to augment the existing Information Sciences curricula. 2 or 4 graduate hours. No professional credit. Approved for Letter and S/U grading. May be repeated in the same or separate semesters to a maximum of 16 hours, if topics vary.",,IS,Information Sciences
450,Tourism Planning & Development,3 hours.,"Tourism has become one of the world's largest business sectors, and consequently many industries rely on tourism to boost their businesses. Moreover, tourism is often an integral element in development policies and has been widely adopted as a catalyst of economic and community development. Students will examine and discuss current issues and future challenges regarding tourism development and destination management. In particular, students will be challenged to critically analyze the interdependence between tourism development and the economy, culture, society, the natural environment, globalization, new technology, and sustainability. In addition, students will be expected to understand and apply key principles of tourism planning and destination management to effectively address current issues and trends. 3 undergraduate hours. 3 graduate hours. Prerequisite: RST 150 or consent of instructor. Not intended for students with Freshman or Sophomore class standing.",,RST,"Recreation, Sport, and Tourism"
296,Global St Foundation Seminar,1 hours.,"Examination of current controversies and larger ethical issues in today's global society. Topics could include: immigration, global environmental debates, and population issues. May be repeated in the same or separate terms to a maximum of 3 hours if topics vary.",,GLBL,Global Studies
312,Compressible Flow,3 hours.,"Dynamics of compressible fluid; conservation of mass, momentum, and energy; one-dimensional and quasi-one-dimensional flow; oblique shock waves & Parandtl-Meyer expansion fans; unsteady wave motion; linearized theory. Application to nozzles, diffusers, airfoils, shock tubes and other geometries. Prerequisite: AE 202 and MATH 285. Credit or concurrent registration in ME 200.",,AE,Aerospace Engineering
523,Plasma Technology of Gaseous Electronics,4 hours.,Same as NPRE 527. See NPRE 527.,,ECE,Electrical and Computer Engineering
460,"Event Management in Recreation, Sport and Tourism",3 hours.,"This course will analyze event management and draw from the social sciences, finance, the arts, and related professional fields to examine the experiences and attributed meanings of planned events. In addition, students will acquire an in-depth knowledge of the specialized field of event management and become familiar with management techniques and strategies required for successful planning, promotion, implementation and evaluation of events within recreation, sport and tourism contexts. 3 undergraduate hours. No graduate credit. Prerequisite: RST 210, RST 240, RST 325 or consent of instructor.",,RST,"Recreation, Sport, and Tourism"
395,Studies on the Pedagogy and Structure of the Physics Learning Assistant Program,1 hours.,"Designed for students who have been Learning Assistants (LAs) in the lab sections of the introductory physics courses or in discussion sections of PHYS 100 and who have successfully completed PHYS 394. The goal of the course is to provide students the opportunity to pursue their interest in the Learning Assistant program by continuing working as assistants in the lab or discussions sections of the introductory physics courses and at the same time conduct a study on the program. At the end of the semester students present their work at the Expert LA symposium. May be repeated if topics vary, to a maximum of 2 credit hours. Prerequisite: PHYS 394.",,PHYS,Physics
135,Jazz Piano,2 TO 4 hours.,Instruction at the undergraduate level in jazz piano normally associated with the jazz idiom. Additional fees may apply. See Class Schedule. May be repeated in separate terms to a maximum of 16 hours. Prerequisite: Passing of a performance audition for the jazz faculty is required prior to the initial registration in any applied music course.,,MUSC,Music Lessons and Ensembles
321,Mechs of Aerospace Structures,3 hours.,"Fundamental concepts in the linear theory of elasticity, including stress, strain, equilibrium, compatibility, material constitution and properties. Failure mechanisms and criteria. Application to plane stress-strain problems, beams in extension and bending, and shafts in torsion. Prerequisite: MATH 285 and one of TAM 210 or TAM 211.",,AE,Aerospace Engineering
524,Advanced Computer Security,4 hours.,Same as CS 563. See CS 563.,,ECE,Electrical and Computer Engineering
597,Advanced Topics in Data Analytics & Data Science,2 OR 4 hours.,"Variety of newly developed and advanced topics courses within the fields of Data Analytics & Data Science, intended to augment the existing Information Sciences curricula. 2 or 4 graduate hours. No professional credit. Approved for Letter and S/U grading. May be repeated in the same or separate semesters to a maximum of 16 hours, if topics vary.",,IS,Information Sciences
480,Orientation to Internship,1 hours.,"Prepares and places students in the RST Internship (RST 485). Topics include placement requirements and policies, resume preparation, interviewing skills, acquiring letters of application, and the roles and issues of professional practice. 1 undergraduate hour. No graduate credit.",,RST,"Recreation, Sport, and Tourism"
398,Sophomore/Junior Special Topics in Physics,1 TO 4 hours.,"Topical offerings of technical interest, skills, and knowledge in physics, and its practice, intended to augment the existing curriculum at the intermediate level. Approved for Letter and S/U grading. May be repeated in separate terms up to 12 hours if topics vary. Prerequisite: See Class Schedule or departmental course information for topics and prerequisites. For students with sophomore or junior standing.",,PHYS,Physics
105,Intro Computing: Non-Tech,3 hours.,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. Prerequisite: MATH 112.",Quantitative Reasoning I course.,CS,Computer Science
323,Applied Aerospace Structures,3 hours.,"Fundamental concepts of stress, strain, equilibrium, compatibility, material constitution and properties. Analysis of beams and shafts of monocoque and semi-monocoque construction. Energy methods. Prerequisite: AE 321, MATH 241, MATH 285, and one of TAM 210 or TAM 211.",,AE,Aerospace Engineering
527,System-On-Chip Design,4 hours.,"System-on-chip (SOC) design methodology and IP (intellectual property) reuse, system modeling and analysis, hardware/software co-design, behavioral synthesis, embedded software, reconfigurable computing, design verification and test, and design space exploration. Class projects focusing on current SOC design and research. Platform FPGA boards and digital cameras are provided to prototype, test, and evaluate SOC designs. Prerequisite: ECE 391 and ECE 425.",,ECE,Electrical and Computer Engineering
357,Numerical Methods I,3 hours.,Same as CS 357. See CS 357.,,MATH,Mathematics
485,Internship,12 hours.,"The internship course requires you to complete a minimum of 400 hours over 10 weeks with an agency that relates to your major. The course is designed to enhance the internship experience by leading you through practical steps that empower you in the learning/working experience, practice skills and concepts presented in academic classes, explore areas of personal and professional interest, and by introducing problem and conflict solving techniques. 12 undergraduate hours. No graduate credit. Approved for S/U grading only. Prerequisite: RST 100, RST 101, RST 200, RST 255, RST 210, RST 240, RST 325, RST 480, and one of the following - RST 120, RST 130, or RST 150. Restricted to students with Junior or Senior standing.",,RST,"Recreation, Sport, and Tourism"
401,Classical Physics Lab,3 hours.,"Experiments and techniques in classical mechanics and electromagnetism. Dynamics of electrical and mechanical oscillators in the linear domain. Fourier analysis of system response. Measurements of electrostatic fields, transmission lines, waves, and radiation. Electromagnetic phenomena in dielectrics, conductors, and magnetic materials. Instruction in data analysis and report writing. 3 undergraduate hours. 3 graduate hours. Prerequisite: PHYS 325; credit or concurrent enrollment in PHYS 435 or ECE 329.",,PHYS,Physics
599,Thesis Research,0 TO 16 hours.,"Individual study and research. 0 to 16 graduate hours. No professional credit. Approved for S/U grading only. May be repeated. M.S. candidates, 0 to 8 hours. Doctoral candidates, 0 to 16 hours. Prerequisite: MS students must submit a ""Request to Enroll in IS 599 - Master's Thesis"" form.",,IS,Information Sciences
298,Global Studies Seminar Abroad,3 OR 6 hours.,"Seminars introduce students to aspects of globalization through a case study of a particular location abroad. On campus, students explore historical and contemporary aspects of the location abroad to prepare for their field visit. Abroad, students engage with local resources and people to better understand how the local site contributes to and is impacted by relevant global processes under focus. Course activities will include a field site visit abroad, discussions, lectures, short essays, student presentation, and final projects. Topics vary according to site location and instructor expertise. May be repeated in separate terms to a maximum of 6 hours.",,GLBL,Global Studies
136,Jazz Bass,2 TO 4 hours.,Instruction at the undergraduate level in jazz bass normally associated with the jazz idiom. Additional fees may apply. See Class Schedule. May be repeated in separate terms to a maximum of 16 hours. Prerequisite: Passing of a performance audition for the jazz faculty is required prior to the initial registration in any applied music course.,,MUSC,Music Lessons and Ensembles
352,Aerospace Dynamical Systems,3 hours.,"Particle kinematics and dynamics; Lagrange's equations; vibration of multiple degree-of-freedom systems; rotational kinematics and dynamics of rigid bodies. Credit is not given toward graduation for both AE 352 and TAM 412. Prerequisite: MATH 225, MATH 257, or MATH 415; MATH 285, MATH 284, MATH 286, or MATH 441; and TAM 212.",,AE,Aerospace Engineering
501,"Foundations and Current Issues in Recreation, Sport & Tourism",4 hours.,"Basic philosophical, historical, and scientific foundations and developments in leisure and recreation; analyses of the significance of leisure in modern societies; critical review of major writings in the field with attention to particular special problem areas and current issues. Prerequisite: RST 100 or equivalent.",,RST,"Recreation, Sport, and Tourism"
530,Large-Scale System Analysis,4 hours.,"Fundamental techniques for the analysis of large-scale electrical systems, including methods for nonlinear and switched systems. Emphasis on the importance of the structural characteristics of such systems. Key aspects of static and dynamic analysis methods. Prerequisite: ECE 464 and ECE 476.",,ECE,Electrical and Computer Engineering
362,Probability with Engrg Applic,3 hours.,Same as ECE 313. See ECE 313.,,MATH,Mathematics
353,Aerospace Control Systems,3 hours.,"Modeling of linear dynamic systems; Laplace transform techniques; linear feedback control systems; stability criteria; design techniques. Credit is not given toward graduation for AE 353 and either SE 320 or ME 340. Prerequisite: MATH 225, MATH 257, or MATH 415; and MATH 285 and TAM 212.",,AE,Aerospace Engineering
504,Applied Evaluation and Needs Assessment in RST,4 hours.,"Designed to increase students' understanding of applied research and program evaluation with an emphasis on research approaches, strategies, and methods used in park, recreation, sport, and tourism settings to address management issues and improve overall organizational functioning. 4 graduate hours. No professional credit. Prerequisite: RST 370 or equivalent research methods course at the undergraduate level.",,RST,"Recreation, Sport, and Tourism"
101,Elementary Italian I,4 hours.,For students who have no credit in Italian.,,ITAL,Italian
402,Light,3 or 4 hours.,"Wave kinematics; geometrical optics: basic concepts, ray-tracing and matrix formalism, Gaussian imaging by thick lenses, stops, apertures, and intensity relations; interference; interference spectroscopy and coherence; diffraction: Fresnel-Kirchhoff formulation, Fraunhofer case, Fresnel case, and holography; polarized light. 4 undergraduate hours. 3 or 4 graduate hours. (3 hours without lab). Prerequisite: PHYS 214 and PHYS 435 or ECE 329.",,PHYS,Physics
350,Poverty in a Global Context,3 hours.,"Examines global poverty in the context of international development debates an practice. Despite global commitments (for example, the Millennium Development Goals), decades of research, and new and innovative policies, the ""solution"" to widespread and lasting poverty alleviation remains elusive. Class will define poverty and how it is measured, considered who is poor and why some people are more vulnerable to the negative effects of poverty than others, and examine what causes some countries to remain poor.",,GLBL,Global Studies
137,Jazz Guitar,2 TO 4 hours.,Instruction at the undergraduate level in jazz guitar normally associated with the jazz idiom. Additional fees may apply. See Class Schedule. May be repeated in separate terms to a maximum of 16 hours. Prerequisite: Passing of a performance audition for the jazz faculty is required prior to the initial registration in any applied music course.,,MUSC,Music Lessons and Ensembles
370,Aerospace Numerical Methods,3 hours.,"Numerical methods used in aerospace engineering. Numerical integration, curve fitting, root finding, numerical solution of ODE, solution of linear systems of equations. Finite difference. Rayleigh-Ritz, and Finite element methods. Applications to simple structural mechanics and aerodynamics problems encountered in aerospace engineering. Prerequisite: Credit or concurrent registration in AE 311 or AE 312; credit or concurrent registration in AE 321 or AE 323.",,AE,Aerospace Engineering
512,"Managing Recreation, Sport & Tourism Organizations",4 hours.,"Examines theoretical and technical principles of personnel managers in leisure service agencies; recruitment, training, selection, and evaluation of personnel with special emphasis on applied measurement concepts and legislation related to personnel administration in leisure services. Prerequisite: RST 410 or consent of instructor.",,RST,"Recreation, Sport, and Tourism"
532,Compnd Semicond & Diode Lasers,4 hours.,"Compound semiconductor materials and their optical properties. Diode lasers including quantum well heterostructure lasers, strained layer lasers, and quantum wire and quantum dot lasers. Current topics in diode laser development. Prerequisite: ECE 340 and PHYS 486. Recommended: ECE 455; credit or concurrent registration in ECE 536.",,ECE,Electrical and Computer Engineering
481,Writing on Technol & Security,3 OR 4 hours.,Same as NPRE 481. See NPRE 481.,Advanced Composition course.,GLBL,Global Studies
395,Honors Project,1 TO 4 hours.,Special aerospace engineering project or reading course for James Scholars in engineering. Prerequisite: Consent of instructor.,,AE,Aerospace Engineering
534,Random Processes,4 hours.,"Basic concepts of random processes; linear systems with random inputs; Markov processes; spectral analysis; Wiener and Kalman filtering; applications to systems engineering. Prerequisite: One of ECE 313, MATH 461, STAT 400.",,ECE,Electrical and Computer Engineering
519,Strategic Management in RST,4 hours.,"In this capstone module, students integrate previous knowledge, including management, marketing, finance, RST operations and human resources, in the development of business strategy in a competitive setting in recreation, sport and tourism industries. Students acquire in-depth knowledge and critical understanding of the environment in which RST organizations operate, the strategic management process, industry and competitive analysis, strategies to build competitive advantage, managing the internal organization and issues pertaining to the social responsibility of RST organizations. 4 graduate hours. No professional credit. Prerequisite: RST 512, RST 515, RST 516, or consent of instructor.",,RST,"Recreation, Sport, and Tourism"
138,Jazz Percussion,2 TO 4 hours.,Instruction at the undergraduate level in jazz percussion normally associated with the jazz idiom. Additional fees may apply. See Class Schedule. May be repeated in separate terms to a maximum of 16 hours. Prerequisite: Passing of a performance audition for the jazz faculty is required prior to the initial registration in any applied music course.,,MUSC,Music Lessons and Ensembles
396,Honors Seminar,1 TO 4 hours.,Special lecture sequences or discussion groups arranged each term to bring James Scholars in engineering into direct contact with the various aspects of engineering practices and philosophy. Prerequisite: Consent of instructor.,,AE,Aerospace Engineering
102,Elementary Italian II,4 hours.,Continuation of ITAL 101. Prerequisite: ITAL 101 or one year of high school Italian.,,ITAL,Italian
390,Individual Study,0 TO 3 hours.,Guided individual study of advanced topics not covered in other courses. May be repeated to a maximum of 8 hours. Approved for both letter and S/U grading. Prerequisite: Consent of instructor.,,MATH,Mathematics
544,Topics in Signal Processing,4 hours.,"Lectures and discussions related to advanced topics and new areas of interest in signal processing: speech, image, and multidimensional processing. May be repeated 8 hours in a term to a total of 20 hours. Credit towards a degree from multiple offerings of this course is not given if those offerings have significant overlap, as determined by the ECE department. Prerequisite: As specified each term. It is expected that each offering will have a 500-level course as prerequisite or co-requisite.",,ECE,Electrical and Computer Engineering
494,Research Methods I,1 hours.,"Optional Capstone experience for Global Studies students. Students will develop research, communication and presentation skills and develop a proposal for an independent research project, goals and timeline. The proposal will include a literature review and methods section for their final project. Topics include: research approaches, design and implementation, as well as methods, analysis and ethics of data collection. 1 undergraduate hour. No graduate credit. Prerequisite: GLBL 200.",,GLBL,Global Studies
403,Modern Experimental Physics,4 OR 5 hours.,"Techniques and experiments in the physics of atoms, atomic nuclei, molecules, the solid state, and other areas of modern physical research. 5 undergraduate hours. 4 graduate hours. Prerequisite: Credit or concurrent registration in PHYS 486.",,PHYS,Physics
397,Independent Study,1 TO 3 hours.,Independent theoretical and experimental projects in aerospace engineering. May be repeated. Prerequisite: Consent of instructor.,,AE,Aerospace Engineering
520,Critical Issues Sport Mgt,4 hours.,"An analysis of the sport industry with special emphasis given to the role and function of the sport manager. Addresses advanced issues related to organizational theory, finance, marketing, sponsorship, contemporary management and leadership, decision making and strategic planning.",,RST,"Recreation, Sport, and Tourism"
399,Math/Actuarial Internship,0 hours.,"Full-time or part-time practice of math or actuarial science in an off-campus government, industrial, or research laboratory environment. Summary report required. Approved for S/U grading only. May be repeated in separate terms. Prerequisite: After obtaining an internship, Mathematics majors must request entry from the Mathematics Director of Undergraduate Studies; Actuarial Science majors must request entry from the Director of the Actuarial Science Program.",,MATH,Mathematics
549,Computer Vision,4 hours.,"Information processing approaches to computer vision, algorithms, and architectures for artificial intelligence and robotics systems capable of vision: inference of three-dimensional properties of a scene from its images, such as distance, orientation, motion, size and shape, acquisition, and representation of spatial information for navigation and manipulation in robotics. Same as CS 543. Prerequisite: ECE 448 or CS 225.",,ECE,Electrical and Computer Engineering
499,Special Topics,1 to 4 hours.,"Selected reading and research in Global Studies. See schedule for current topics. 3 undergraduate hours. 1 to 4 graduate hours. May be repeated, if topics vary, in the same or separate terms to a maximum of 6 undergraduate or 8 graduate hours. Prerequisite: GLBL 100 or six hours of global studies, anthropology, social geography, political science, sociology, or economics; consent of instructor.",,GLBL,Global Studies
103,Intermediate Italian I,4 hours.,"Rapid reading, review of grammar, composition, and conversation. Prerequisite: ITAL 102 or two years of high school Italian.",,ITAL,Italian
404,Electronic Circuits,4 or 5 hours.,"Physics of semiconductor devices; theory and application of discrete and integrated devices in linear circuits; use of operational amplifiers and feedback; regulation, oscillators, and modulation; emphasizes practical experience. 5 undergraduate hours. 4 graduate hours. Prerequisite: PHYS 325.",,PHYS,Physics
300,Junior Recital,0 hours.,"The Junior Recital represents the third-year applied music project for students majoring in a music performance program after completing two years of applied music study. A public recital is given during the junior year. Approved for S/U grading only. May be repeated if recital program differs, and with permission of applied music instructor. Prerequisite: Minimum of four semesters of applied music study, concurrent enrollment in the appropriate 400-level applied music course, and permission of the applied music instructor.",,MUSC,Music Lessons and Ensembles
402,Orbital Mechanics,3 OR 4 hours.,"Analysis of orbits in an inverse-square gravitational field; elementary rocket dynamics, impulsive orbit transfer and rendezvous, and Lambert's Theorem with applications; patched-conic trajectories, planetary gravity-assist maneuvers, and linearized orbit theory with application to simplified analytical models; perturbations. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: AE 202.",,AE,Aerospace Engineering
402,Non Euclidean Geometry,3 OR 4 hours.,"Historical development of geometry; includes tacit assumptions made by Euclid; the discovery of non-Euclidean geometries; geometry as a mathematical structure; and an axiomatic development of plane geometry. 3 or 4 undergraduate hours. 3 or 4 graduate hours. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241; MATH 347 or MATH 348, or equivalent; or consent of instructor.",,MATH,Mathematics
551,Digital Signal Processing II,4 hours.,"Basic concept review of digital signals and systems; computer-aided digital filter design, quantization effects, decimation and interpolation, and fast algorithms for convolution and the DFT; introduction to adaptive signal processing. Prerequisite: ECE 310 and ECE 313.",,ECE,Electrical and Computer Engineering
560,Teaching in the Professoriate,4 hours.,"Same as CHLH 565, KIN 565, and SHS 565. See KIN 565.",,RST,"Recreation, Sport, and Tourism"
107,Data Science Discovery,4 hours.,Same as IS 107 and STAT 107. See STAT 107.,Quantitative Reasoning I course.,CS,Computer Science
110,Broadway Musicals,3 hours.,"A cultural context of the uniquely ""American"" Broadway musical through an introduction to the art form, an analysis of the pertinent time period, and historical and critical placement of the work as a reflection (and development) of the identity of the United States. This course will introduce the collaborative artistry of the musical, survey specific iconic works, and explore the socio-economic impacts of the Broadway musical. Attendance at selected performances is required.","Humanities - Lit & Arts, and Cultural Studies - Western course.",THEA,Theatre
400,Senior Recital,0 hours.,"The Senior Recital represents the final applied music project for students studying music performance or music composition. A public recital is given during the senior year. 0 undergraduate hours. No graduate credit. Approved for S/U grading only. May be repeated if recital program differs, and with permission of applied music instructor. Prerequisite: Minimum of six semesters of applied music study, concurrent enrollment in the appropriate 400-level applied music course, and permission of the applied music instructor. Music performance majors must have completed MUSC 300.",,MUSC,Music Lessons and Ensembles
563,Information Theory,4 hours.,"Mathematical models for channels and sources; entropy, information, data compression, channel capacity, Shannon's theorems, and rate-distortion theory. Prerequisite: One of ECE 534, MATH 464, MATH 564.",,ECE,Electrical and Computer Engineering
581,Human Development Theories,4 hours.,Same as HDFS 501. See HDFS 501.,,RST,"Recreation, Sport, and Tourism"
104,Intermediate Italian II,4 hours.,Continuation of ITAL 103. Prerequisite: ITAL 103 or three years of high school Italian.,,ITAL,Italian
403,Euclidean Geometry,3 OR 4 hours.,"Selected topics from geometry, including the nine-point circle, theorems of Cera and Menelaus, regular figures, isometries in the plane, ordered and affine geometries, and the inversive plane. 3 or 4 undergraduate hours. 3 or 4 graduate hours. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241; MATH 347 or 348, or equivalent; or consent of instructor.",,MATH,Mathematics
500,Global Society,4 hours.,"Students will examine three propositions: (1) the existence of a global society; (2) the flaws of its principal, global institutions � the state, markets, and democracy; and (3) absent their reform, whether the global society is at risk. Prerequisite: Instructor Approval Required.",,GLBL,Global Studies
401,Advanced Piano,2 TO 4 hours.,"Instruction in piano at the advanced undergraduate and graduate level. Additional fees may apply. See Class Schedule. 2 to 4 undergraduate hours. 2 to 4 graduate hours. May be repeated in separate semesters to a maximum of 16 hours. Prerequisite: Primarily for music majors, junior standing or above. Passing of an audition is required prior to initial registration in any applied music course as approved by the faculty of the appropriate applied music area. Not intended for graduate piano majors.",,MUSC,Music Lessons and Ensembles
412,Viscous Flow & Heat Transfer,4 hours.,"Momentum and thermal transport in wall boundary-layer and free shear flows, solutions to the Navier-Stokes equations for heat conducting laminar and turbulent shear flows; similarity concepts; thermal boundary layers in ducts and high-speed aerodynamic boundary layers. Same as ME 411. 4 undergraduate hours. 4 graduate hours. Prerequisite: AE 311, ME 310 or TAM 335.",,AE,Aerospace Engineering
419,"Space, Time, and Matter-ACP",3 OR 4 hours.,Identical to PHYS 420 except for the additional writing component including a final term paper. Same as PHIL 419. 3 undergraduate hours. 4 graduate hours. Credit is not given for both PHYS 419 and PHYS 420. Prerequisite: PHIL 101; PHYS 101 or PHYS 211.,Advanced Composition course.,PHYS,Physics
583,"Theories of Diversity, Inequality, and Social Change",4 hours.,Same as SOCW 510. See SOCW 510.,,RST,"Recreation, Sport, and Tourism"
156,Exploring Rome: History and Culture of the Eternal City,3 hours.,"Examines Rome and its roles (religious, political, cultural) in Italian culture from ancient times to the present day. Through history, film, literature, painting and architecture, we will explore the Rome through its various historical and political developments and the effects the city has had on wider Italian and global perception of the ""Eternal City"". All readings and class meetings are in English.","Humanities - Lit & Arts, and Cultural Studies - Western course.",ITAL,Italian
119,BFA Production Seminar,1 hours.,"A seminar class for undergraduate theatre majors in the following 6 concentrations: Lighting Design and Technology; Sound Design and Technology; Costume Design and Technology; Scenic Design; Scenic Technology; Arts and Entertainment Technology. The course provides an opportunity for students studying technical and design aspects of live performance to investigate topics in production and/or design as related to their particular field of study. Course activities vary per section but include analysis of production and design approaches/techniques, skills development and practice, and reviews of student and professional production work. The course provides an open, collaborative environment that allows for all students to participate in the exchange of ideas, promote analytical thinking, and to work with principles that may be applied to practical production and design scenarios. Guests artists and special topics may be included. May be repeated to a maximum of 8 hours in separate semesters. Credit is not given for THEA 119 if credit for the corresponding section of THEA 199 has been given. Prerequisite: Restricted to BFA Theatre students in the following 6 concentrations: Lighting Design and Technology; Sound Design and Technology; Costume Design and Technology; Scenic Design; Scenic Technology; Arts and Entertainment Technology.",,THEA,Theatre
564,Modern Light Microscopy,4 hours.,"Current research topics in modern light microscopy: optics principles (statistical optics, Gaussian optics, elastic light scattering, dynamic light scattering); traditional microscopy (bright field, dark field, DIC, phase contract, confocal, epi-fluorescence, confocal fluorescence); current research topics (multiphoton, CARS, STED, FRET, FIONA, STORM, PALM, quantitative phase). Prerequisite: One of ECE 460, MSE 405, PHYS 402.",,ECE,Electrical and Computer Engineering
405,Teacher's Course,3 OR 4 hours.,"In-depth, advanced perspective look at selected topics covered in the secondary curriculum.  Connects mathematics learned at the university level to content introduced at the secondary level. Intended for students who plan to seek a secondary certificate in mathematics teaching. 3 or 4 undergraduate hours. 3 or 4 graduate hours. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241; MATH 347 or MATH 348, or equivalent; or consent of instructor.",,MATH,Mathematics
199,Undergraduate Open Seminar,1 TO 5 hours.,May be repeated.,,GMC,Germanic
584,Management Internship,2 TO 4 hours.,Work-study experience in the management aspects of leisure service delivery systems. Students are assigned to agencies in their special fields of study and are closely supervised by University faculty. Prerequisite: RST 484 or graduate standing.,,RST,"Recreation, Sport, and Tourism"
416,Applied Aerodynamics,3 OR 4 hours.,Two-dimensional and finite wing theory with emphasis on the mechanisms of lift and drag generation; Reynolds number and Mach number effects; drag analysis; high-lift wing systems; propeller and rotor aerodynamics; control surface design; application of V/STOL aerodynamics. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: AE 311.,,AE,Aerospace Engineering
199,Undergraduate Open Seminar,1 TO 5 hours.,Approved for letter and S/U grading. May be repeated to a maximum of 5 hours.,,ITAL,Italian
420,"Space, Time, and Matter",2 hours.,"Philosophical examination of some fundamental concepts and theories of the physical world, such as time, matter, space, and geometry; interpretation of quantum theory. Same as PHIL 420. 2 undergraduate hours. 2 graduate hours. Credit is not given for both PHYS 420 and PHYS 419. Prerequisite: PHIL 101; PHYS 101 or PHYS 211.",,PHYS,Physics
566,Computational Inference and Learning,4 hours.,"Computational inference and machine learning have seen a surge of interest in the last 15 years, motivated by applications as diverse as computer vision, speech recognition, analysis of networks and distributed systems, big-data analytics, large-scale computer simulations, and indexing and searching of very large databases. This course introduces the mathematical and computational methods that enable such applications. Topics include computational methods for statistical inference, sparsity analysis, approximate inference and search, and fast optimization. 4 graduate hours. No professional credit. Prerequisite: ECE 490, ECE 534.",,ECE,Electrical and Computer Engineering
402,Advanced Harpsichord,2 TO 4 hours.,"Instruction in harpsichord at the advanced undergraduate and graduate level. Additional fees may apply. See Class Schedule. 2 to 4 undergraduate hours. 2 to 4 graduate hours. May be repeated in separate terms to a maximum of 16 hours. Prerequisite: Primarily for music majors, junior standing or above. Passing of an audition is required prior to initial registration in any applied music course as approved by the faculty of the appropriate applied music area. Not intended for graduate harpsichord majors.",,MUSC,Music Lessons and Ensembles
233,Elementary Organic Chem Lab I,2 hours.,"Basic laboratory techniques in organic chemistry are presented with emphasis on the separation, isolation, and purification of organic compounds. For students in agricultural science, dairy technology, food technology, nutrition, dietetics, premedical, predental, and preveterinary programs. Additional fees may apply. See Class Schedule. Credit is not given for both CHEM 233 and CHEM 237. Prerequisite: Credit or concurrent registration in CHEM 232.",,CHEM,Chemistry
585,Inclusive by Design in RST,4 hours.,"Introduces the fundamental principles of inclusive design specifically in the Recreation, Sport and Tourism arena and prepares the learner for further exploration, study and focus on all aspects of lifespan development. The course discusses inclusive and universal design, laws and standards, facility design, programming/events, policies and procedures, communication methods and workplace culture. Students will examine the types and ranges of user identities that contribute to the diversity of the stakeholders in our communities. 4 graduate hours. No professional credit. Prerequisite: RST 501.",,RST,"Recreation, Sport, and Tourism"
210,Practical Review Italian,3 hours.,"Reviews major challenges in Italian grammar, with particular emphasis on the verb system (major tenses and moods, morphology, and aspect) and areas of contrast with English. Prerequisite: Credit or concurrent enrollment in ITAL 104 or equivalent.",,ITAL,Italian
